Utterance,Intent,Category 1,Category 2,Category 3
如果您见到「Memorable Answer/提示答案」，说明您没有重设过提示答案。密码」的名称已经更改为「提示答案」。－－－－我也用过密码输入，还是错误,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我不记得第二密码，所以每次都要用保安编码器,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
提示答案是网银密码还是什么东西,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我在汇丰有人指导我重设过，但提示答案有很多我怎么输入，是把几次提示答案混合一起吗,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
如何可以修改网上理财密码,如何更改网上理财登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我保安编码器显示就快没电，如何申请新的编码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
重置保安编码器密码操作有问题,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
输入电脑屏幕解锁码后，保安编码器显示的仍然是之前那个数字码，没变！,我记得我的保安问题，我该如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
好的 那安卓系统如何下载hsbc hk,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
怎么开启流动保安编码,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
我需要在网上理财中找到如何重新设定编码器密码,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
重新输入提示答案 是要输入英文还是 中文？,设定个人网上理财提示问题及答案有什么要求,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
2. 输入您的提示答案 （即您现有的第一密码[若您尚未设定提示问题及答案]） 详情,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
可以改用传统的保安密码器吗？怎么申请,我可以通过个人网上理财将流动保安编码更换为实体保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Soft Token_Switch
那我申请保安编码器怎么申请,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
收到新的保安编码器，如何启用？,如何激活实体保安编码器,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
我网上理财被锁了，怎么办？,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
收到新的保安密码器，如何设置新密码？,如何设定保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
用户名和提示答案都正确输入了 进入了第二个页面 提示我激活我的保安编码器,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
保安编码器没电了。怎么办？,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
保安编码器没电了。怎么办，移动编码器是怎么回事？,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
登录后买卖股票时要求输入保安编码器密码。,我想登录个人网上理财，该如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
哦，那怎样申请更换保安编码器？,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我要登录个人网银，有个这样的提示Memorable answer / 提示答案:is required,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我提示密码忘记了怎么办,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
也忘记提示问题了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我网上理财已经注册过了，系统拒绝我再次注册。但是密码不被认可，登入不了，怎么办？,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
怎么设置网上密码,如何设置个人网上理财登录密码,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Second Password_Features
现在要上网操作，网上密码怎么设置,如何设置个人网上理财登录密码,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Second Password_Features
在登记新的付款人信息时，需要保安密码，我明明输入的保安编码数字是正确的，可是总是显示不正确。连续三次说我错误,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我刚刚重新设置了登陆密码，可是一直提示错误,重置/更改密码后无法登录个人网上理财，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
保安密码器跳不出HSBC的字,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
密码是设定成功了，但用手机登录提示需要重新设定安全资料,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
网上理财已被锁定,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
保安问题 我也忘记了,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
网上密码也忘记了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我的保安密码器激活问题,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
我正在登录网上银行，但不记得第一个密码是指什么密码,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我有设过提示问题，也记得答案，但就是提示密码不正确,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我应该怎么获取保安密码？,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我叫刘岩，我的保安密码器不能使用了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
保安密码器不能使用了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
输入编码器获得的密码，提示不对？？？,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
您的网上理财已被锁定ser Lockedlert Messageock Error Message Herenformation Message已达到输入安全详细信息的最大允许尝试次数，为了安全起见，您的网上理财已被锁定。用您的保安编码器？即致电客户服务热线为您的网上理财解锁。丰卓越理财客户 (852) **** ****丰运筹理财客户 (852) **** ****他客户 (852) **** **** 用您的流动保安编码？可以在香港汇丰流动理财应用程序中重置您的流动保安编码之密码，立即为您的网上理财解锁。细內容Opens a new window,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
保安编码器 按power键无显示,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
点击“”忘记流动保安编码“  提示我密码重置失败，输入不正确答案次数过多。,我忘记了我的保安问题答案，如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
您已达到输入安全详细信息的最大允许尝试次数，为了安全起见，您的网上理财已被锁定。,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
HSBCkip page header and navigation体體nglishSBC的网上理财已被锁定ser Lockedlert Messageock Error Message Herenformation Message已达到输入安全详细信息的最大允许尝试次数，为了安全起见，您的网上理财已被锁定。用您的保安编码器？即致电客户服务热线为您的网上理财解锁。丰卓越理财客户 (852) **** ****丰运筹理财客户 (852) **** ****他客户 (852) **** **** 用您的流动保安编码？可以在香港汇丰流动理财应用程序中重置您的流动保安编码之密码，立即为您的网上理财解锁。细內容Opens a new window出务条款及细则责任声明及互联网保密政策声明 ? 版权所有。The Hongkong and Shanghai Banking Corporation Limited 香港上海汇丰银行有限公司 ****-****。 不得转载。,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
输入保安密码错误，账户被锁死。联系了客户经理，他现在有事不能回复。但我反复确认过输入密码没有错误。,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
